baseline,treatment,metric,delta,ci_low,ci_high,probability_positive,bootstrap_samples,seed,stratified_by
full_query_bm25,oracle_hybrid_verify_F1000_L50,ndcg_at_20,0.20708204509887146,0.19682060339211366,0.2178326624775155,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L500,recall_at_100,0.09358162500310714,0.08353479864733541,0.10407479632972054,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L500,ceiling_normalized_recall_at_100,0.11261640263651349,0.10175881693207585,0.12380785684477184,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L500,ndcg_at_20,0.21133526796520719,0.20113449196986266,0.2221084101736973,1.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L10,recall_at_100,-0.26606017328541687,-0.27863280483247643,-0.25339677731812466,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L10,ceiling_normalized_recall_at_100,-0.30330797773951196,-0.3183473079591481,-0.28786817476003296,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L10,ndcg_at_20,-0.18367021428424432,-0.1966648502095341,-0.16974357190930692,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L100,recall_at_100,-0.22955854101594217,-0.2407077993497321,-0.2180043799596764,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L100,ceiling_normalized_recall_at_100,-0.26260246346354094,-0.27628092477998517,-0.24843642355941595,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L100,ndcg_at_20,-0.04120600405670526,-0.053137070138447325,-0.029096032504902697,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L1000,recall_at_100,-0.053731805379122845,-0.06613922974859054,-0.040851261973721624,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L1000,ceiling_normalized_recall_at_100,-0.054861625678757034,-0.068542860686448,-0.040704095255884545,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L1000,ndcg_at_20,0.16056736901265892,0.14944820079264376,0.17214803421452107,1.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L25,recall_at_100,-0.2570370944271648,-0.2692419797619331,-0.2447745635545952,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L25,ceiling_normalized_recall_at_100,-0.29360867251686007,-0.3080009877990353,-0.2787431996897119,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L25,ndcg_at_20,-0.14922374539790959,-0.16224203874345777,-0.13582534627320145,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L250,recall_at_100,-0.18493643502681745,-0.1971687152839618,-0.17222490752234684,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L250,ceiling_normalized_recall_at_100,-0.21157872330393562,-0.22554928907781968,-0.19694284643464285,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L250,ndcg_at_20,0.07562121605433582,0.06404171891677496,0.08745731465677288,1.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L50,recall_at_100,-0.24606497586159898,-0.2576970829625916,-0.23428010687241543,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L50,ceiling_normalized_recall_at_100,-0.281384805193456,-0.2953097602694698,-0.26699904121067464,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L50,ndcg_at_20,-0.10300446077588972,-0.11556398409558079,-0.09021982677509162,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L500,recall_at_100,-0.1344805878057916,-0.1471469140256078,-0.12118688855178907,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L500,ceiling_normalized_recall_at_100,-0.15222832048607293,-0.1662801943772497,-0.13734217310621308,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L500,ndcg_at_20,0.13176204553778603,0.12001202987988008,0.1437514171846676,1.0,10000,20260804,template
