depth,unique_attributes,posting_size_mean,posting_size_median,posting_size_p90,relevant_retrieved_total,posting_weighted_atomic_recall,macro_atomic_recall,macro_ceiling_normalized_atomic_recall,posting_weighted_ceiling_normalized_atomic_recall,query_occurrence_weighted_atomic_recall,positive_occurrence_weighted_atomic_recall,positive_occurrence_weighted_ceiling_normalized_atomic_recall,negative_occurrence_weighted_atomic_recall,attributes_with_zero_hits,attributes_with_full_coverage,mean_first_relevant_rank_hits_only,median_first_relevant_rank_hits_only
10,1072,1252.0559701492537,2.0,2686.8,6122,0.004561154638192108,0.49711740382359215,0.9673507462686567,0.9999478469740815,0.4936673056240285,0.5014164817268836,0.9696428571428571,0.4394230729040428,29,525,1.0575263662511984,1.0
25,1072,1252.0559701492537,2.0,2686.8,13721,0.010222738123265912,0.50445360833558,0.9719776119402985,0.9998756373844812,0.5013550626010365,0.5087189740783121,0.9742000000000001,0.449807682260107,22,528,1.158095238095238,1.0
50,1072,1252.0559701492537,2.0,2686.8,26364,0.019642319647385942,0.5103032365712624,0.9732089552238807,0.9995296393096726,0.5080197112133226,0.5156489035980524,0.9765285714285715,0.454615364520214,20,529,1.2328897338403042,1.0
100,1072,1252.0559701492537,2.0,2686.8,51651,0.03848222773885341,0.5238671245837095,0.9777611940298508,0.9993027587460623,0.5216603317964917,0.5280791121084003,0.9799857142857143,0.47672886961313155,15,534,1.563859981078524,1.0
250,1072,1252.0559701492537,2.0,2686.8,127309,0.09485070823809197,0.5607588395537612,0.9872276119402985,0.9976375126284828,0.559081775244068,0.5649457809908065,0.9895628571428571,0.518033735016898,6,547,2.9080675422138835,1.0
500,1072,1252.0559701492537,2.0,2686.8,253109,0.1885771462460252,0.6106439369291594,0.9920522388059702,0.9960157174319254,0.6089730155076861,0.6136795116824681,0.9934614285714286,0.5760275422842124,2,555,4.399065420560747,1.0
1000,1072,1252.0559701492537,2.0,2686.8,504134,0.375601622406132,0.7022887928368652,0.994410447761194,0.9941023883105699,0.7007136339705236,0.7041413772536186,0.9950057142857143,0.6767194309888585,1,561,5.122315592903828,1.0
