depth,unique_attributes,posting_size_mean,posting_size_median,posting_size_p90,relevant_retrieved_total,posting_weighted_atomic_recall,macro_atomic_recall,macro_ceiling_normalized_atomic_recall,posting_weighted_ceiling_normalized_atomic_recall,query_occurrence_weighted_atomic_recall,positive_occurrence_weighted_atomic_recall,positive_occurrence_weighted_ceiling_normalized_atomic_recall,negative_occurrence_weighted_atomic_recall,attributes_with_zero_hits,attributes_with_full_coverage,mean_first_relevant_rank_hits_only,median_first_relevant_rank_hits_only
10,1072,1252.0559701492537,2.0,2686.8,6121,0.0045604095949646995,0.4971170548389977,0.9672574626865672,0.9997486969193953,0.4936666041649937,0.5014156800594153,0.9694285714285714,0.4394230729040428,29,525,1.0613614573346117,1.0
25,1072,1252.0559701492537,2.0,2686.8,13719,0.010221248036811096,0.5035207725146845,0.971044776119403,0.9998741472980263,0.5007300626010365,0.5080046883640263,0.9734857142857144,0.449807682260107,23,527,1.1496663489037178,1.0
50,1072,1252.0559701492537,2.0,2686.8,26365,0.01964306469061335,0.5103035964616255,0.9732276119402987,0.9995682623505816,0.508020193466409,0.5156494547444369,0.9765571428571429,0.454615364520214,20,529,1.2595057034220531,1.0
100,1072,1252.0559701492537,2.0,2686.8,51653,0.038483717825308225,0.5234017956264,0.9773227611940299,0.9993594565356682,0.5207242909936969,0.5273664940480634,0.9793142857142857,0.47422886961313154,15,533,1.6367076631977293,1.0
250,1072,1252.0559701492537,2.0,2686.8,127304,0.09484698302195493,0.5598249712350833,0.986283582089552,0.9976118056569643,0.5584563061774316,0.5645881043102906,0.9892000000000001,0.5155337192474188,6,545,3.050656660412758,1.0
500,1072,1252.0559701492537,2.0,2686.8,253108,0.18857640120279778,0.6092453965754773,0.9906567164179104,0.9960212799246613,0.6080357677727853,0.612607832557818,0.9923885714285715,0.5760313142775562,4,554,3.7312734082397006,1.0
1000,1072,1252.0559701492537,2.0,2686.8,504147,0.3756113079680883,0.702293450081623,0.9944225746268657,0.9941276221796389,0.7007172602509678,0.7041441578083519,0.9950128571428571,0.6767289773492787,1,561,5.5779645191409895,1.0
