baseline,treatment,metric,delta,ci_low,ci_high,probability_positive,bootstrap_samples,seed,stratified_by
full_query_bm25,oracle_hybrid_verify_F1000_L50,ndcg_at_20,0.20723007858160633,0.19688864804431344,0.21803226991112834,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L500,recall_at_100,0.09497291805890427,0.08477350417236797,0.10553200452262547,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L500,ceiling_normalized_recall_at_100,0.11401670016258421,0.10309141650806067,0.12527020244755785,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L500,ndcg_at_20,0.2116632566020689,0.20140732924014645,0.22240534391205805,1.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L10,recall_at_100,-0.2648443822556268,-0.2775459349809907,-0.25222195733697317,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L10,ceiling_normalized_recall_at_100,-0.3021040239613314,-0.3170094089657002,-0.286713711835756,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L10,ndcg_at_20,-0.18371043676844287,-0.19686383229320675,-0.16971411651666293,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L100,recall_at_100,-0.22830329501306607,-0.23955807183339425,-0.21683861790680992,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L100,ceiling_normalized_recall_at_100,-0.26123480246899305,-0.27474448388980693,-0.2470533956046908,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L100,ndcg_at_20,-0.03917984467936926,-0.050885577755614156,-0.02704914624707985,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L1000,recall_at_100,-0.05257252675685913,-0.06515899183446343,-0.039713149809706645,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L1000,ceiling_normalized_recall_at_100,-0.053652331781377884,-0.06734133066668546,-0.03941106827108108,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L1000,ndcg_at_20,0.16044091500086596,0.14934899943191887,0.172168552052175,1.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L25,recall_at_100,-0.2559778314119121,-0.2681105351264161,-0.24380869654262347,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L25,ceiling_normalized_recall_at_100,-0.29252568189636946,-0.3068606462709501,-0.27781216704302863,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L25,ndcg_at_20,-0.1479399272136934,-0.16093079885044254,-0.13452579789147784,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L250,recall_at_100,-0.18322760531909338,-0.195528792273417,-0.17043110168380604,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L250,ceiling_normalized_recall_at_100,-0.2097577240078455,-0.22379950058400053,-0.19493541845669882,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L250,ndcg_at_20,0.07802986220216669,0.0665266135533767,0.08960086160626891,1.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L50,recall_at_100,-0.24405560957737576,-0.2554792738151983,-0.2324447654183203,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L50,ceiling_normalized_recall_at_100,-0.27938028592508407,-0.29316475273558806,-0.2649749433780304,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L50,ndcg_at_20,-0.1021378483487342,-0.1149383334446246,-0.08917582726312397,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L500,recall_at_100,-0.13270291802837392,-0.14522570677900878,-0.11962941369671802,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L500,ceiling_normalized_recall_at_100,-0.15011854925192084,-0.1641717889007361,-0.1355313745810466,0.0,10000,20260804,template
full_query_bm25,oracle_union_verify_L500,ndcg_at_20,0.13179859874827704,0.12053486030791548,0.14338560502574613,1.0,10000,20260804,template
